,bomtitle,bomlink,year,genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
65,The Original Kings of Comedy,https://www.boxofficemojo.com/release/rl1768326657/?ref_=bo_yld_table_66,2000,"['Comedy', 'Documentary']",Comedy,Documentary,,,,,,
66,Autumn in New York,https://www.boxofficemojo.com/release/rl826639873/?ref_=bo_yld_table_67,2000,"['Drama', 'Romance']",Drama,Romance,,,,,,
67,Bedazzled,https://www.boxofficemojo.com/release/rl2118419969/?ref_=bo_yld_table_68,2000,"['Comedy', 'Fantasy']",Comedy,Fantasy,,,,,,
68,28 Days,https://www.boxofficemojo.com/release/rl1245808129/?ref_=bo_yld_table_69,2000,"['Comedy', 'Drama']",Comedy,Drama,,,,,,
69,Keeping the Faith,https://www.boxofficemojo.com/release/rl962364929/?ref_=bo_yld_table_70,2000,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
70,Bounce,https://www.boxofficemojo.com/release/rl2655421953/?ref_=bo_yld_table_71,2000,"['Drama', 'Romance']",Drama,Romance,,,,,,
71,Hanging Up,https://www.boxofficemojo.com/release/rl425100801/?ref_=bo_yld_table_72,2000,"['Comedy', 'Drama']",Comedy,Drama,,,,,,
72,The Flintstones in Viva Rock Vegas,https://www.boxofficemojo.com/release/rl928155137/?ref_=bo_yld_table_73,2000,"['Comedy', 'Family', 'Romance', 'Sci-Fi']",Comedy,Family,Romance,Sci-Fi,,,,
73,The Skulls,https://www.boxofficemojo.com/release/rl3950085633/?ref_=bo_yld_table_74,2000,"['Action', 'Crime', 'Drama', 'Thriller']",Action,Crime,Drama,Thriller,,,,
74,Mysteries of Egypt,https://www.boxofficemojo.com/release/rl2119271937/?ref_=bo_yld_table_75,2000,"['Documentary', 'Drama', 'Family']",Documentary,Drama,Family,,,,,
75,The 6th Day,https://www.boxofficemojo.com/release/rl3493955073/?ref_=bo_yld_table_76,2000,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",Action,Mystery,Sci-Fi,Thriller,,,,
76,My Dog Skip,https://www.boxofficemojo.com/release/rl40142337/?ref_=bo_yld_table_77,2000,"['Comedy', 'Drama', 'Family', 'Sport']",Comedy,Drama,Family,Sport,,,,
77,Where the Heart Is,https://www.boxofficemojo.com/release/rl1014728193/?ref_=bo_yld_table_78,2000,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
78,"Dude, Where's My Car?",https://www.boxofficemojo.com/release/rl4065232385/?ref_=bo_yld_table_79,2000,"['Comedy', 'Mystery', 'Sci-Fi']",Comedy,Mystery,Sci-Fi,,,,,
79,Pay It Forward,https://www.boxofficemojo.com/release/rl896042497/?ref_=bo_yld_table_80,2000,['Drama'],Drama,,,,,,,
80,Return to Me,https://www.boxofficemojo.com/release/rl3798828545/?ref_=bo_yld_table_81,2000,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
81,Almost Famous,https://www.boxofficemojo.com/release/rl256083457/?ref_=bo_yld_table_82,2000,"['Adventure', 'Comedy', 'Drama', 'Music']",Adventure,Comedy,Drama,Music,,,,
82,The Legend of Bagger Vance,https://www.boxofficemojo.com/release/rl459179521/?ref_=bo_yld_table_83,2000,"['Drama', 'Fantasy', 'Sport']",Drama,Fantasy,Sport,,,,,
83,The Art of War,https://www.boxofficemojo.com/release/rl2302838273/?ref_=bo_yld_table_84,2000,"['Action', 'Adventure', 'Crime', 'Thriller']",Action,Adventure,Crime,Thriller,,,,
