year,bomrank,bomtitle,imdblink,bomlink
2004,167,A Day Without a Mexican,http://www.imdb.com/title/tt0377744/,http://www.boxofficemojo.com/movies/?id=daywithoutamexican.htm
2004,168,"Good Bye, Lenin!",http://www.imdb.com/title/tt0301357/,http://www.boxofficemojo.com/movies/?id=goodbyelenin.htm
2004,169,Camping Sauvage,http://www.imdb.com/title/tt0389831/,http://www.boxofficemojo.com/movies/?id=campingsauvage.htm
2004,170,The Door in the Floor,http://www.imdb.com/title/tt0348593/,http://www.boxofficemojo.com/movies/?id=doorinthefloor.htm
2004,171,Benji Off the Leash,http://www.imdb.com/title/tt0315273/,http://www.boxofficemojo.com/movies/?id=benji04.htm
2004,172,Vera Drake,http://www.imdb.com/title/tt0383694/,http://www.boxofficemojo.com/movies/?id=veradrake.htm
2004,173,William Shakespeare's The Merchant of Venice,http://www.imdb.com/title/tt0379889/,http://www.boxofficemojo.com/movies/?id=merchantofvenice.htm
2004,174,Born Into Brothels,http://www.imdb.com/title/tt0388789/,http://www.boxofficemojo.com/movies/?id=bornintobrothels.htm
2004,175,The Work and the Glory,http://www.imdb.com/title/tt0410454/,http://www.boxofficemojo.com/movies/?id=workandtheglory.htm
2004,176,Veer Zaara,http://www.imdb.com/title/tt0420332/,http://www.boxofficemojo.com/movies/?id=veerzaara.htm
2004,177,Clifford's Really Big Movie,http://www.imdb.com/title/tt0398872/,http://www.boxofficemojo.com/movies/?id=cliffordsreallybigmovie.htm
2004,178,Bobby Jones: Stroke of Genius,http://www.imdb.com/title/tt0375104/,http://www.boxofficemojo.com/movies/?id=bobbyjonesstrokeofgenius.htm
2004,179,Therese: The Story of Saint Therese of Lisieux,http://www.imdb.com/title/tt0286218/,http://www.boxofficemojo.com/movies/?id=therese.htm
2004,180,Control Room,http://www.imdb.com/title/tt0391024/,http://www.boxofficemojo.com/movies/?id=controlroom.htm
2004,181,The Dreamers,http://www.imdb.com/title/tt0309987/,http://www.boxofficemojo.com/movies/?id=dreamers.htm
2004,182,"Spring, Summer, Fall, Winter... and Spring",http://www.imdb.com/title/tt0374546/,http://www.boxofficemojo.com/movies/?id=springsummerfallwinterandspring.htm
2004,183,Bon Voyage,http://www.imdb.com/title/tt0310778/,http://www.boxofficemojo.com/movies/?id=bonvoyage.htm
2004,184,Riding Giants,http://www.imdb.com/title/tt0389326/,http://www.boxofficemojo.com/movies/?id=ridinggiants.htm
2004,185,Dans une galaxie pres de chez vous,http://www.imdb.com/title/tt0385635/,http://www.boxofficemojo.com/movies/?id=dansunegalaxiepresdechezvous.htm
2004,186,Coffee and Cigarettes,http://www.imdb.com/title/tt0379217/,http://www.boxofficemojo.com/movies/?id=coffeeandcigarettes.htm
2004,187,Intimate Strangers,http://www.imdb.com/title/tt0363532/,http://www.boxofficemojo.com/movies/?id=intimatestrangers.htm
2004,188,The Sea Inside,http://www.imdb.com/title/tt0369702/,http://www.boxofficemojo.com/movies/?id=seainside.htm
2004,189,Les Choristes (Quebec),http://www.imdb.com/title/tt0372824/,http://www.boxofficemojo.com/movies/?id=choristesqb.htm
2004,190,We Don't Live Here Anymore,http://www.imdb.com/title/tt0361309/,http://www.boxofficemojo.com/movies/?id=wedontlivehereanymore.htm
2004,191,Santa Vs. the Snowman - Season 3 (IMAX),http://www.imdb.com/title/tt0337714/,http://www.boxofficemojo.com/movies/?id=santavsthesnowman3.htm
2004,192,The Corporation,http://www.imdb.com/title/tt0379225/,http://www.boxofficemojo.com/movies/?id=corporationus.htm
2004,193,Elles etaient cinq,http://www.imdb.com/title/tt0400400/,http://www.boxofficemojo.com/movies/?id=ellesetaientcinq.htm
2004,194,Elvis Gratton XXX,http://www.imdb.com/title/tt0380344/,http://www.boxofficemojo.com/movies/?id=elvisgratton3.htm
2004,195,The Story of the Weeping Camel,http://www.imdb.com/title/tt0373861/,http://www.boxofficemojo.com/movies/?id=storyofweepingcamel.htm
2004,196,The Blue Butterfly,http://www.imdb.com/title/tt0313300/,http://www.boxofficemojo.com/movies/?id=bluebutterfly.htm
2004,197,Main Hoon Na,http://www.imdb.com/title/tt0347473/,http://www.boxofficemojo.com/movies/?id=mainhoonna.htm
2004,198,I'm Not Scared,http://www.imdb.com/title/tt0326977/,http://www.boxofficemojo.com/movies/?id=imnotscared.htm
2004,199,The Corporation (Canada),http://www.imdb.com/title/tt0379225/,http://www.boxofficemojo.com/movies/?id=corporation.htm
2004,200,Nouvelle-France,http://www.imdb.com/title/tt0386669/,http://www.boxofficemojo.com/movies/?id=nouvellefrance.htm
2005,1,Star Wars: Episode III - Revenge of the Sith,http://www.imdb.com/title/tt0121766/,http://www.boxofficemojo.com/movies/?id=starwars3.htm
2005,2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://www.imdb.com/title/tt0363771/,http://www.boxofficemojo.com/movies/?id=narnia.htm
2005,3,Harry Potter and the Goblet of Fire,http://www.imdb.com/title/tt0330373/,http://www.boxofficemojo.com/movies/?id=harrypotter4.htm
2005,4,War of the Worlds,http://www.imdb.com/title/tt0407304/,http://www.boxofficemojo.com/movies/?id=waroftheworlds.htm
2005,5,King Kong,http://www.imdb.com/title/tt0360717/,http://www.boxofficemojo.com/movies/?id=kingkong05.htm
2005,6,Wedding Crashers,http://www.imdb.com/title/tt0396269/,http://www.boxofficemojo.com/movies/?id=weddingcrashers.htm
2005,7,Charlie and the Chocolate Factory,http://www.imdb.com/title/tt0367594/,http://www.boxofficemojo.com/movies/?id=charliechocolate.htm
2005,8,Batman Begins,http://www.imdb.com/title/tt0372784/,http://www.boxofficemojo.com/movies/?id=batmanbegins.htm
2005,9,Madagascar,http://www.imdb.com/title/tt0351283/,http://www.boxofficemojo.com/movies/?id=madagascar.htm
2005,10,Mr. & Mrs. Smith,http://www.imdb.com/title/tt0356910/,http://www.boxofficemojo.com/movies/?id=mrandmrssmith.htm
2005,11,Hitch,http://www.imdb.com/title/tt0386588/,http://www.boxofficemojo.com/movies/?id=hitch.htm
