photoimage,actorname,actorimdb,dateofbirth,placeofbirth,minibio,trivia,race,gender,Domestic
,Dan Fogelman,http://www.imdb.com/name/nm1557594/,,,,,,,1
,Dan Gilroy,http://www.imdb.com/name/nm0319659/,,,,,,,1
,Dan Ireland,http://www.imdb.com/name/nm0006959/,,,,,,,0
,Dan Rush,http://www.imdb.com/name/nm3656297/,,,,,,,1
,Dan Scanlon,http://www.imdb.com/name/nm0768959/,,,,,,,1
,Dana Adam Shapiro,http://www.imdb.com/name/nm1785691/,,,,,,,1
,Daniel Alfredson,http://www.imdb.com/name/nm0019242/,,,,,,,0
,Daniel Barber,http://www.imdb.com/name/nm2905562/,,,,,,,0
,Daniel Barnz,http://www.imdb.com/name/nm1400426/,,,,,,,1
,Daniel Espinosa,http://www.imdb.com/name/nm1174251/,,,,,,,1
,Daniel Ferguson,http://www.imdb.com/name/nm0272402/,,,,,,,1
,Daniel Lusko,http://www.imdb.com/name/nm2662079/,,,,,,,1
,Daniel St. Pierre,http://www.imdb.com/name/nm0820800/,,,,,,,1
,Daniel Stamm,http://www.imdb.com/name/nm0821844/,,,,,,,1
,Daniel Taplitz,http://www.imdb.com/name/nm0850044/,,,,,,,1
,Daniela Thomas,http://www.imdb.com/name/nm0858680/,,,,,,,0
,Danny Boyle,http://www.imdb.com/name/nm0000965/,,,,,,,1
,Danny Cannon,http://www.imdb.com/name/nm0134176/,,,,,,,1
,Danny Leiner,http://www.imdb.com/name/nm0500444/,,,,,,,1
,Danny Pang,http://www.imdb.com/name/nm0659380/,,,,,,,1
,Darnell Martin,http://www.imdb.com/name/nm0552140/,,,,,,,1
,Darrel Campbell,http://www.imdb.com/name/nm0132362/,,,,,,,1
,Darren Aronofsky,http://www.imdb.com/name/nm0004716/,,,,,,,1
,Darren Doane,http://www.imdb.com/name/nm0229544/,,,,,,,1
,Darren Grant,http://www.imdb.com/name/nm0335337/,,,,,,,1
,Darren Lynn Bousman,http://www.imdb.com/name/nm1135423/,,,,,,,1
,Dave Borthwick,http://www.imdb.com/name/nm0097529/,,,,,,,1
,Dave Green,http://www.imdb.com/name/nm1757777/,,,,,,,1
,Dave Meyers,http://www.imdb.com/name/nm0583515/,,,,,,,1
,Dave Willis,http://www.imdb.com/name/nm0932302/,,,,,,,1
,David Ayer,http://www.imdb.com/name/nm0043742/,,,,,,,1
,David Bowers,http://www.imdb.com/name/nm0101047/,,,,,,,1
,David Boyd,http://www.imdb.com/name/nm0101741/,,,,,,,1
,David Cronenberg,http://www.imdb.com/name/nm0000343/,,,,,,,1
,David Dobkin,http://www.imdb.com/name/nm0229694/,,,,,,,1
,David Douglas,http://www.imdb.com/name/nm0235010/,,,,,,,0
,David E. Talbert,http://www.imdb.com/name/nm0847859/,,,,,,,1
,David Fincher,http://www.imdb.com/name/nm0000399/,,,,,,,1
,David Frankel,http://www.imdb.com/name/nm0291205/,,,,,,,1
,David G. Evans,http://www.imdb.com/name/nm3686896/,,,,,,,1
,David Gelb,http://www.imdb.com/name/nm0312173/,,,,,,,1
,David Gordon Green,http://www.imdb.com/name/nm0337773/,,,,,,,1
,David Hackl,http://www.imdb.com/name/nm0352524/,,,,,,,1
,David Koepp,http://www.imdb.com/name/nm0462895/,,,,,,,1
,David L. Cunningham,http://www.imdb.com/name/nm0192289/,,,,,,,1
,David LaChapelle,http://www.imdb.com/name/nm0479999/,,,,,,,1
,David Levien,http://www.imdb.com/name/nm0505522/,,,,,,,1
,David Lickley,http://www.imdb.com/name/nm0999521/,,,,,,,1
,David M. Matthews,http://www.imdb.com/name/nm0559991/,,,,,,,1
,David M. Rosenthal,http://www.imdb.com/name/nm1270033/,,,,,,,1
,David Mamet,http://www.imdb.com/name/nm0000519/,,,,,,,1
,David Mich?d,http://www.imdb.com/name/nm2391575/,,,,,,,0
,David Moreau,http://www.imdb.com/name/nm1219963/,,,,,,,1
,David Nixon,http://www.imdb.com/name/nm1117098/,,,,,,,1
,David O. Russell,http://www.imdb.com/name/nm0751102/,,,,,,,1
,David Palmer,http://www.imdb.com/name/nm3124542/,,,,,,,1
,David Peers,http://www.imdb.com/name/nm1668276/,,,,,,,0
