,year,imdbcrewcastlink,imdbfilmtitle,imdbfilmlink,bomtitle,bomlink,descriptor1,descriptor2,descriptor3,NumOwnFilms(past five years),NumOfTwoCommonCategoriesOwnFilms(past five years),NumFeatureMovies(past five years),NumCommonFeatureMovies(past five years)
1899,2010,http://www.imdb.com/name/nm2612991/,Exit Through the Gift Shop,http://www.imdb.com/title/tt1587707/,Exit Through the Gift Shop,http://www.boxofficemojo.com/movies/?id=exitthroughthegiftshop.htm,documentary,comedy,crime,1,1,29769.0,0.0
1900,2013,http://www.imdb.com/name/nm1349522/,Warm Bodies,http://www.imdb.com/title/tt1588173/,Warm Bodies,http://www.boxofficemojo.com/movies/?id=warmbodies.htm,comedy,horror,romance,4,2,38747.0,506.0
1901,2011,http://www.imdb.com/name/nm0243231/,"Jeff, Who Lives at Home",http://www.imdb.com/title/tt1588334/,"Jeff, Who Lives at Home",http://www.boxofficemojo.com/movies/?id=jeffwholivesathome.htm,comedy,drama,,5,3,32639.0,2499.0
1902,2011,http://www.imdb.com/name/nm0243233/,"Jeff, Who Lives at Home",http://www.imdb.com/title/tt1588334/,"Jeff, Who Lives at Home",http://www.boxofficemojo.com/movies/?id=jeffwholivesathome.htm,comedy,drama,,3,3,32639.0,2499.0
1903,2010,http://www.imdb.com/name/nm0064741/,Om guder og mennesker,http://www.imdb.com/title/tt1588337/,Of Gods and Men,http://www.boxofficemojo.com/movies/?id=ofgodsandmen.htm,drama,history,,2,1,29769.0,178.0
1904,2010,http://www.imdb.com/name/nm1490123/,Insidious,http://www.imdb.com/title/tt1591095/,Insidious,http://www.boxofficemojo.com/movies/?id=insidious.htm,horror,mystery,thriller,4,2,29769.0,197.0
1905,2012,http://www.imdb.com/name/nm0915304/,Act of Valor,http://www.imdb.com/title/tt1591479/,Act of Valor,http://www.boxofficemojo.com/movies/?id=actofvalor.htm,action,adventure,drama,1,1,35774.0,500.0
1906,2012,http://www.imdb.com/name/nm0566788/,Act of Valor,http://www.imdb.com/title/tt1591479/,Act of Valor,http://www.boxofficemojo.com/movies/?id=actofvalor.htm,action,adventure,drama,2,1,35774.0,500.0
1907,2012,http://www.imdb.com/name/nm1908892/,Lockout,http://www.imdb.com/title/tt1592525/,Lockout,http://www.boxofficemojo.com/movies/?id=lockout.htm,action,sci-fi,thriller,1,1,35774.0,82.0
1908,2012,http://www.imdb.com/name/nm1140492/,Lockout,http://www.imdb.com/title/tt1592525/,Lockout,http://www.boxofficemojo.com/movies/?id=lockout.htm,action,sci-fi,thriller,1,1,35774.0,82.0
1909,2011,http://www.imdb.com/name/nm0510912/,Fast Five,http://www.imdb.com/title/tt1596343/,Fast Five,http://www.boxofficemojo.com/movies/?id=fastfive.htm,action,adventure,thriller,5,2,32639.0,462.0
1910,2014,http://www.imdb.com/name/nm0001880/,Pawn Sacrifice,http://www.imdb.com/title/tt1596345/,Pawn Sacrifice,http://www.boxofficemojo.com/movies/?id=pawnsacrifice.htm,biography,drama,sport,2,1,41257.0,360.0
1911,2011,http://www.imdb.com/name/nm0573732/,Soul Surfer,http://www.imdb.com/title/tt1596346/,Soul Surfer,http://www.boxofficemojo.com/movies/?id=soulsurfer.htm,biography,drama,family,12,1,32639.0,263.0
1912,2012,http://www.imdb.com/name/nm0629334/,This Means War,http://www.imdb.com/title/tt1596350/,This Means War,http://www.boxofficemojo.com/movies/?id=thismeanwar.htm,action,comedy,romance,3,1,35774.0,640.0
1913,2015,http://www.imdb.com/name/nm0570912/,The Big Short,http://www.imdb.com/title/tt1596363/,The Big Short,http://www.boxofficemojo.com/movies/?id=bigshort.htm,biography,comedy,drama,6,1,43994.0,90.0
1914,2012,http://www.imdb.com/name/nm1220140/,The Woman in Black,http://www.imdb.com/title/tt1596365/,The Woman in Black,http://www.boxofficemojo.com/movies/?id=womaninblack.htm,drama,fantasy,horror,3,1,35774.0,284.0
1915,2011,http://www.imdb.com/name/nm0001752/,Contagion,http://www.imdb.com/title/tt1598778/,Contagion,http://www.boxofficemojo.com/movies/?id=contagion.htm,action,drama,thriller,9,2,32639.0,609.0
1916,2011,http://www.imdb.com/name/nm0005190/,New Year's Eve,http://www.imdb.com/title/tt1598822/,New Year's Eve,http://www.boxofficemojo.com/movies/?id=newyearseve.htm,comedy,romance,,3,2,32639.0,657.0
1917,2012,http://www.imdb.com/name/nm1455688/,One for the Money,http://www.imdb.com/title/tt1598828/,One For the Money,http://www.boxofficemojo.com/movies/?id=oneforthemoney.htm,action,comedy,crime,11,1,35774.0,640.0
1918,2012,http://www.imdb.com/name/nm1174251/,VÃ©dhetetlen,http://www.imdb.com/title/tt1599348/,Safe House,http://www.boxofficemojo.com/movies/?id=safehouse.htm,action,thriller,,3,1,35774.0,147.0
1919,2011,http://www.imdb.com/name/nm0005436/,Abduction,http://www.imdb.com/title/tt1600195/,Abduction,http://www.boxofficemojo.com/movies/?id=abduction11.htm,action,mystery,thriller,2,1,32639.0,18.0
1920,2014,http://www.imdb.com/name/nm1742427/,The Drop,http://www.imdb.com/title/tt1600196/,The Drop,http://www.boxofficemojo.com/movies/?id=drop.htm,crime,drama,,2,2,41257.0,942.0
1921,2011,http://www.imdb.com/name/nm0138620/,The Grey,http://www.imdb.com/title/tt1601913/,The Grey,http://www.boxofficemojo.com/movies/?id=grey.htm,action,adventure,drama,2,2,32639.0,462.0
1922,2011,http://www.imdb.com/name/nm0006554/,Albert Nobbs,http://www.imdb.com/title/tt1602098/,Albert Nobbs,http://www.boxofficemojo.com/movies/?id=albertnobbs.htm,drama,romance,,8,3,32639.0,1091.0
1923,2012,http://www.imdb.com/name/nm0359734/,Amour,http://www.imdb.com/title/tt1602620/,Amour,http://www.boxofficemojo.com/movies/?id=amour.htm,drama,romance,,2,1,35774.0,1107.0
1924,2011,http://www.imdb.com/name/nm0638271/,Prom,http://www.imdb.com/title/tt1604171/,Prom,http://www.boxofficemojo.com/movies/?id=prom.htm,comedy,drama,family,2,2,32639.0,2499.0
1925,2012,http://www.imdb.com/name/nm1376383/,American Reunion,http://www.imdb.com/title/tt1605630/,American Reunion,http://www.boxofficemojo.com/movies/?id=americanreunion.htm,comedy,,,3,0,35774.0,
1926,2012,http://www.imdb.com/name/nm1375358/,American Reunion,http://www.imdb.com/title/tt1605630/,American Reunion,http://www.boxofficemojo.com/movies/?id=americanreunion.htm,comedy,,,3,0,35774.0,
1927,2011,http://www.imdb.com/name/nm0000095/,Midnight in Paris,http://www.imdb.com/title/tt1605783/,Midnight in Paris,http://www.boxofficemojo.com/movies/?id=midnightinparis.htm,comedy,fantasy,romance,5,4,32639.0,138.0
1928,2013,http://www.imdb.com/name/nm0601382/,A Good Day to Die Hard,http://www.imdb.com/title/tt1606378/,A Good Day to Die Hard,http://www.boxofficemojo.com/movies/?id=diehard5.htm,action,thriller,,1,1,38747.0,174.0
1929,2012,http://www.imdb.com/name/nm1302591/,The Vow,http://www.imdb.com/title/tt1606389/,The Vow,http://www.boxofficemojo.com/movies/?id=vow.htm,drama,romance,,3,1,35774.0,1107.0
1930,2011,http://www.imdb.com/name/nm0565336/,Win Win,http://www.imdb.com/title/tt1606392/,Win Win,http://www.boxofficemojo.com/movies/?id=winwin.htm,comedy,drama,sport,2,1,32639.0,2499.0
1931,2009,http://www.imdb.com/name/nm3818996/,Poema de salvaciÃ³n,http://www.imdb.com/title/tt1608566/,The Salvation Poem (Poema de Salvacion),http://www.boxofficemojo.com/movies/?id=salvationpoem.htm,drama,,,1,0,27108.0,
1932,2012,http://www.imdb.com/name/nm0067457/,Abraham Lincoln: Vampire Hunter,http://www.imdb.com/title/tt1611224/,Abraham Lincoln: Vampire Hunter,http://www.boxofficemojo.com/movies/?id=abrahamlincolnvampirehunter.htm,action,fantasy,horror,4,2,35774.0,53.0
1933,2012,http://www.imdb.com/name/nm1650283/,Kon-Tiki,http://www.imdb.com/title/tt1613750/,Kon-Tiki,http://www.boxofficemojo.com/movies/?id=kontiki.htm,biography,drama,history,2,2,35774.0,277.0
1934,2012,http://www.imdb.com/name/nm1461392/,Kon-Tiki,http://www.imdb.com/title/tt1613750/,Kon-Tiki,http://www.boxofficemojo.com/movies/?id=kontiki.htm,biography,drama,history,2,2,35774.0,277.0
1935,2012,http://www.imdb.com/name/nm0000231/,Savages,http://www.imdb.com/title/tt1615065/,Savages (2012),http://www.boxofficemojo.com/movies/?id=savages12.htm,crime,drama,thriller,7,2,35774.0,845.0
1936,2011,http://www.imdb.com/name/nm1170855/,Margin Call,http://www.imdb.com/title/tt1615147/,Margin Call,http://www.boxofficemojo.com/movies/?id=margincall.htm,drama,thriller,,1,1,32639.0,423.0
1937,2011,http://www.imdb.com/name/nm0593610/,Alvin and the Chipmunks: Chipwrecked,http://www.imdb.com/title/tt1615918/,Alvin and the Chipmunks: Chipwrecked,http://www.boxofficemojo.com/movies/?id=alvin3d.htm,animation,adventure,comedy,3,2,32639.0,168.0
