year,bomtitle,imdblink,descriptor1,descriptor2,descriptor3
2005,Madagascar,http://www.imdb.com/title/tt0351283/,animation,adventure,comedy
2005,Mr. & Mrs. Smith,http://www.imdb.com/title/tt0356910/,action,comedy,crime
2005,Hitch,http://www.imdb.com/title/tt0386588/,comedy,romance,
2005,The Longest Yard,http://www.imdb.com/title/tt0398165/,comedy,crime,sport
2005,Fantastic Four (2005),http://www.imdb.com/title/tt0120667/,action,adventure,fantasy
2005,Chicken Little,http://www.imdb.com/title/tt0371606/,animation,adventure,comedy
2005,Robots,http://www.imdb.com/title/tt0358082/,animation,adventure,comedy
2005,Walk the Line,http://www.imdb.com/title/tt0358273/,biography,drama,music
2005,The Pacifier,http://www.imdb.com/title/tt0395699/,action,comedy,drama
2005,Fun with Dick and Jane,http://www.imdb.com/title/tt0369441/,comedy,crime,
2005,The 40-Year-Old Virgin,http://www.imdb.com/title/tt0405422/,comedy,romance,
2005,Flightplan,http://www.imdb.com/title/tt0408790/,drama,mystery,thriller
2005,Saw II,http://www.imdb.com/title/tt0432348/,horror,mystery,
2005,Brokeback Mountain,http://www.imdb.com/title/tt0388795/,drama,romance,
2005,Monster-in-Law,http://www.imdb.com/title/tt0369735/,comedy,romance,
2005,Are We There Yet?,http://www.imdb.com/title/tt0368578/,adventure,comedy,family
2005,Cheaper by the Dozen 2,http://www.imdb.com/title/tt0452598/,adventure,comedy,family
2005,The Dukes of Hazzard,http://www.imdb.com/title/tt0377818/,comedy,,
2005,March of the Penguins,http://www.imdb.com/title/tt0428803/,documentary,family,
2005,The Ring Two,http://www.imdb.com/title/tt0377109/,horror,mystery,
2005,Constantine,http://www.imdb.com/title/tt0360486/,action,fantasy,horror
2005,The Exorcism of Emily Rose,http://www.imdb.com/title/tt0404032/,drama,horror,thriller
2005,Four Brothers,http://www.imdb.com/title/tt0430105/,action,crime,drama
2005,Sin City,http://www.imdb.com/title/tt0401792/,crime,thriller,
2005,The Interpreter,http://www.imdb.com/title/tt0373926/,crime,mystery,thriller
2005,Guess Who,http://www.imdb.com/title/tt0372237/,comedy,romance,
2005,Sahara,http://www.imdb.com/title/tt0318649/,action,adventure,comedy
2005,Coach Carter,http://www.imdb.com/title/tt0393162/,biography,drama,sport
2005,Herbie: Fully Loaded,http://www.imdb.com/title/tt0400497/,adventure,comedy,family
2005,The Amityville Horror (2005),http://www.imdb.com/title/tt0384806/,horror,,
2005,Sky High,http://www.imdb.com/title/tt0405325/,adventure,comedy,family
2005,Bewitched,http://www.imdb.com/title/tt0374536/,comedy,fantasy,romance
2005,Jarhead,http://www.imdb.com/title/tt0418763/,action,biography,drama
2005,Cinderella Man,http://www.imdb.com/title/tt0352248/,biography,drama,history
2005,The Family Stone,http://www.imdb.com/title/tt0356680/,comedy,drama,romance
2005,Red Eye,http://www.imdb.com/title/tt0421239/,action,mystery,thriller
2005,Memoirs of a Geisha,http://www.imdb.com/title/tt0397535/,drama,romance,
2005,White Noise,http://www.imdb.com/title/tt0375210/,drama,horror,mystery
2005,Wallace and Gromit: The Curse of the Were-Rabbit,http://www.imdb.com/title/tt0312004/,animation,adventure,comedy
2005,Be Cool,http://www.imdb.com/title/tt0377471/,comedy,crime,drama
2005,Crash,http://www.imdb.com/title/tt0375679/,crime,drama,thriller
2005,"Yours, Mine and Ours",http://www.imdb.com/title/tt0443295/,comedy,family,fantasy
2005,Tim Burton's Corpse Bride,http://www.imdb.com/title/tt0121164/,animation,drama,family
2005,Kicking and Screaming,http://www.imdb.com/title/tt0384642/,comedy,family,romance
2005,Hoodwinked,http://www.imdb.com/title/tt0443536/,animation,comedy,crime
2005,Hide and Seek,http://www.imdb.com/title/tt0382077/,drama,horror,mystery
2005,The Hitchhiker's Guide to the Galaxy,http://www.imdb.com/title/tt0371724/,adventure,comedy,sci-fi
2005,Syriana,http://www.imdb.com/title/tt0365737/,drama,thriller,
2005,Tyler Perry's Diary of a Mad Black Woman,http://www.imdb.com/title/tt0422093/,comedy,drama,romance
2005,Racing Stripes,http://www.imdb.com/title/tt0376105/,adventure,comedy,drama
2005,Miss Congeniality 2: Armed and Fabulous,http://www.imdb.com/title/tt0385307/,action,comedy,crime
2005,Just Like Heaven,http://www.imdb.com/title/tt0425123/,comedy,drama,fantasy
2005,The Skeleton Key,http://www.imdb.com/title/tt0397101/,drama,horror,mystery
2005,Munich,http://www.imdb.com/title/tt0408306/,action,drama,history
2005,Kingdom of Heaven,http://www.imdb.com/title/tt0320661/,action,adventure,drama
2005,Boogeyman,http://www.imdb.com/title/tt0357507/,drama,horror,mystery
2005,The Legend of Zorro,http://www.imdb.com/title/tt0386140/,action,adventure,romance
2005,Must Love Dogs,http://www.imdb.com/title/tt0417001/,comedy,romance,
2005,Transporter 2,http://www.imdb.com/title/tt0388482/,action,thriller,
2005,Rumor Has It,http://www.imdb.com/title/tt0398375/,comedy,drama,romance
2005,Fever Pitch,http://www.imdb.com/title/tt0332047/,comedy,drama,romance
2005,The Adventures of Sharkboy and Lavagirl in 3D,http://www.imdb.com/title/tt0424774/,action,adventure,comedy
2005,The Sisterhood of the Traveling Pants,http://www.imdb.com/title/tt0403508/,comedy,drama,romance
2005,Pride and Prejudice,http://www.imdb.com/title/tt0414387/,drama,romance,
2005,The Brothers Grimm,http://www.imdb.com/title/tt0355295/,action,adventure,comedy
2005,Beauty Shop,http://www.imdb.com/title/tt0388500/,comedy,,
2005,Derailed,http://www.imdb.com/title/tt0398017/,crime,drama,thriller
