bomtitle,bomlink,year,login_link,imdb_idList,imdb_genre_textList,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
Bedazzled,https://www.boxofficemojo.com/release/rl2118419969/?ref_=bo_yld_table_68,2000,https://pro.imdb.com/title/tt0230030?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0230030,"['Comedy', 'Fantasy']",Comedy,Fantasy,,,,,,
28 Days,https://www.boxofficemojo.com/release/rl1245808129/?ref_=bo_yld_table_69,2000,https://pro.imdb.com/title/tt0191754?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0191754,"['Comedy', 'Drama']",Comedy,Drama,,,,,,
Keeping the Faith,https://www.boxofficemojo.com/release/rl962364929/?ref_=bo_yld_table_70,2000,https://pro.imdb.com/title/tt0171433?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0171433,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
Bounce,https://www.boxofficemojo.com/release/rl2655421953/?ref_=bo_yld_table_71,2000,https://pro.imdb.com/title/tt0186894?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0186894,"['Drama', 'Romance']",Drama,Romance,,,,,,
Hanging Up,https://www.boxofficemojo.com/release/rl425100801/?ref_=bo_yld_table_72,2000,https://pro.imdb.com/title/tt0162983?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0162983,"['Comedy', 'Drama']",Comedy,Drama,,,,,,
The Flintstones in Viva Rock Vegas,https://www.boxofficemojo.com/release/rl928155137/?ref_=bo_yld_table_73,2000,https://pro.imdb.com/title/tt0158622?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0158622,"['Comedy', 'Family', 'Romance']",Comedy,Family,Romance,,,,,
The Skulls,https://www.boxofficemojo.com/release/rl3950085633/?ref_=bo_yld_table_74,2000,https://pro.imdb.com/title/tt0192614?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0192614,"['Action', 'Crime', 'Drama']",Action,Crime,Drama,,,,,
Mysteries of Egypt,https://www.boxofficemojo.com/release/rl2119271937/?ref_=bo_yld_table_75,2000,https://pro.imdb.com/title/tt0145921?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0145921,"['Documentary', 'Drama', 'Family']",Documentary,Drama,Family,,,,,
The 6th Day,https://www.boxofficemojo.com/release/rl3493955073/?ref_=bo_yld_table_76,2000,https://pro.imdb.com/title/tt0216216?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0216216,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",Action,Mystery,Sci-Fi,Thriller,,,,
My Dog Skip,https://www.boxofficemojo.com/release/rl40142337/?ref_=bo_yld_table_77,2000,https://pro.imdb.com/title/tt0156812?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0156812,"['Comedy', 'Drama', 'Family']",Comedy,Drama,Family,,,,,
Where the Heart Is,https://www.boxofficemojo.com/release/rl1014728193/?ref_=bo_yld_table_78,2000,https://pro.imdb.com/title/tt0198021?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0198021,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
"Dude, Where's My Car?",https://www.boxofficemojo.com/release/rl4065232385/?ref_=bo_yld_table_79,2000,https://pro.imdb.com/title/tt0242423?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0242423,"['Comedy', 'Mystery', 'Sci-Fi']",Comedy,Mystery,Sci-Fi,,,,,
Pay It Forward,https://www.boxofficemojo.com/release/rl896042497/?ref_=bo_yld_table_80,2000,https://pro.imdb.com/title/tt0223897?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0223897,['Drama'],Drama,,,,,,,
Return to Me,https://www.boxofficemojo.com/release/rl3798828545/?ref_=bo_yld_table_81,2000,https://pro.imdb.com/title/tt0122459?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0122459,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
Almost Famous,https://www.boxofficemojo.com/release/rl256083457/?ref_=bo_yld_table_82,2000,https://pro.imdb.com/title/tt0181875?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0181875,"['Adventure', 'Comedy', 'Drama']",Adventure,Comedy,Drama,,,,,
The Legend of Bagger Vance,https://www.boxofficemojo.com/release/rl459179521/?ref_=bo_yld_table_83,2000,https://pro.imdb.com/title/tt0146984?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0146984,"['Drama', 'Fantasy', 'Sport']",Drama,Fantasy,Sport,,,,,
The Art of War,https://www.boxofficemojo.com/release/rl2302838273/?ref_=bo_yld_table_84,2000,https://pro.imdb.com/title/tt0160009?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0160009,"['Action', 'Adventure', 'Crime', 'Thriller']",Action,Adventure,Crime,Thriller,,,,
Bless the Child,https://www.boxofficemojo.com/release/rl4131882497/?ref_=bo_yld_table_85,2000,https://pro.imdb.com/title/tt0163983?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0163983,"['Crime', 'Drama', 'Horror', 'Thriller']",Crime,Drama,Horror,Thriller,,,,
The Watcher,https://www.boxofficemojo.com/release/rl7898625/?ref_=bo_yld_table_86,2000,https://pro.imdb.com/title/tt0204626?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0204626,"['Crime', 'Drama', 'Mystery']",Crime,Drama,Mystery,,,,,
"Girl, Interrupted",https://www.boxofficemojo.com/release/rl458524161/?ref_=bo_yld_table_87,2000,https://pro.imdb.com/title/tt0172493?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0172493,"['Biography', 'Drama']",Biography,Drama,,,,,,
Love & Basketball,https://www.boxofficemojo.com/release/rl3881928193/?ref_=bo_yld_table_88,2000,https://pro.imdb.com/title/tt0199725?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0199725,"['Drama', 'Romance', 'Sport']",Drama,Romance,Sport,,,,,
