year,bomrank,bomtitle,imdblink,bomlink,imdb_genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10
2006,147,The Protector (2006),http://www.imdb.com/title/tt0427954/,http://www.boxofficemojo.com/movies/?id=protector.htm,"['Action', 'Crime', 'Drama', ' Action', ' Crime', ' Drama', ' Thriller']",Action,Crime,Drama, Action, Crime, Drama, Thriller,,,,
2006,148,Zoom,http://www.imdb.com/title/tt0383060/,http://www.boxofficemojo.com/movies/?id=zoom.htm,"['Action', 'Adventure', 'Comedy', ' Action', ' Adventure', ' Comedy', ' Family', ' Fantasy', ' Sci-Fi']",Action,Adventure,Comedy, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi,,
2006,149,End of the Spear,http://www.imdb.com/title/tt0399862/,http://www.boxofficemojo.com/movies/?id=endofthespear.htm,"['Adventure', 'Biography', 'Drama', ' Adventure', ' Biography', ' Drama', ' History']",Adventure,Biography,Drama, Adventure, Biography, Drama, History,,,,
2006,150,Dave Chappelle's Block Party,http://www.imdb.com/title/tt0425598/,http://www.boxofficemojo.com/movies/?id=blockparty.htm,"['Documentary', 'Comedy', 'Music', ' Documentary', ' Comedy', ' Music']",Documentary,Comedy,Music, Documentary, Comedy, Music,,,,,
2006,151,The Last Kiss (2006),http://www.imdb.com/title/tt0434139/,http://www.boxofficemojo.com/movies/?id=lastkiss06.htm,"['Comedy', 'Drama', 'Romance', ' Comedy', ' Drama', ' Romance']",Comedy,Drama,Romance, Comedy, Drama, Romance,,,,,
2006,152,Something New,http://www.imdb.com/title/tt0437777/,http://www.boxofficemojo.com/movies/?id=somethingnew.htm,"['Comedy', 'Drama', 'Romance', ' Comedy', ' Drama', ' Romance']",Comedy,Drama,Romance, Comedy, Drama, Romance,,,,,
2006,153,Material Girls,http://www.imdb.com/title/tt0433412/,http://www.boxofficemojo.com/movies/?id=materialgirls.htm,"['Comedy', 'Family', 'Romance', ' Comedy', ' Family', ' Romance']",Comedy,Family,Romance, Comedy, Family, Romance,,,,,
2006,154,Bobby,http://www.imdb.com/title/tt0308055/,http://www.boxofficemojo.com/movies/?id=bobby.htm,"['Biography', 'Drama', 'History', ' Biography', ' Drama', ' History']",Biography,Drama,History, Biography, Drama, History,,,,,
2006,155,Scoop,http://www.imdb.com/title/tt0457513/,http://www.boxofficemojo.com/movies/?id=scoop.htm,"['Comedy', 'Crime', 'Fantasy', ' Comedy', ' Crime', ' Fantasy', ' Mystery']",Comedy,Crime,Fantasy, Comedy, Crime, Fantasy, Mystery,,,,
2006,156,Roving Mars (IMAX),http://www.imdb.com/title/tt0436595/,http://www.boxofficemojo.com/movies/?id=marsimax.htm,"['Documentary', 'Short', ' Documentary', ' Short']",Documentary,Short, Documentary, Short,,,,,,,
2006,157,Facing the Giants,http://www.imdb.com/title/tt0805526/,http://www.boxofficemojo.com/movies/?id=facingthegiants.htm,"['Drama', 'Fantasy', 'Sport', ' Drama', ' Fantasy', ' Sport']",Drama,Fantasy,Sport, Drama, Fantasy, Sport,,,,,
2006,158,The Fountain,http://www.imdb.com/title/tt0414993/,http://www.boxofficemojo.com/movies/?id=fountain.htm,"['Drama', 'Mystery', 'Romance', ' Drama', ' Mystery', ' Romance', ' Sci-Fi']",Drama,Mystery,Romance, Drama, Mystery, Romance, Sci-Fi,,,,
2006,159,Tim Burton's The Nightmare Before Christmas in 3-D (2006),http://www.imdb.com/title/tt0107688/,http://www.boxofficemojo.com/movies/?id=3d06.htm,"['Animation', 'Family', 'Fantasy', ' Animation', ' Family', ' Fantasy', ' Musical']",Animation,Family,Fantasy, Animation, Family, Fantasy, Musical,,,,
