,bomfilmtitle,filmimdb,year,notsample,filmrank,castrank,filmrole,actorname,actorimdb,birthyear,gender,race,bomlink,starpower-actor,name_id,bomtitle,releasedate,prior10weeksDate
58,Along Came Polly,http://www.imdb.com/title/tt0343135/,2004,0,6,4,Cast,Debra Messing,http://www.imdb.com/name/nm0005226/,1968,f,white,http://www.boxofficemojo.com/movies/?id=alongcamepolly.htm,53,nm0005226,Along Came Polly,1/16/2004,11/7/2003
59,Along Came Polly,http://www.imdb.com/title/tt0343135/,2004,0,7,5,Cast,Alec Baldwin,http://www.imdb.com/name/nm0000285/,1958,m,white,http://www.boxofficemojo.com/movies/?id=alongcamepolly.htm,435,nm0000285,Along Came Polly,1/16/2004,11/7/2003
60,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,2004,0,13,1,Cast,Johnny Messner,http://www.imdb.com/name/nm0582257/,1970,m,white,http://www.boxofficemojo.com/movies/?id=anacondas.htm,3565,nm0582257,Anacondas: The Hunt for the Blood Orchid,8/27/2004,6/18/2004
61,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,2004,0,14,2,Cast,KaDee Strickland,http://www.imdb.com/name/nm0834380/,1975,f,white,http://www.boxofficemojo.com/movies/?id=anacondas.htm,1345,nm0834380,Anacondas: The Hunt for the Blood Orchid,8/27/2004,6/18/2004
62,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,2004,0,15,3,Cast,Matthew Marsden,http://www.imdb.com/name/nm0550452/,1973,m,white,http://www.boxofficemojo.com/movies/?id=anacondas.htm,3868,nm0550452,Anacondas: The Hunt for the Blood Orchid,8/27/2004,6/18/2004
63,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,2004,0,16,4,Cast,Nicholas Gonzalez,http://www.imdb.com/name/nm0327764/,1976,m,hispanic,http://www.boxofficemojo.com/movies/?id=anacondas.htm,6532,nm0327764,Anacondas: The Hunt for the Blood Orchid,8/27/2004,6/18/2004
64,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,2004,0,17,5,Cast,Eugene Byrd,http://www.imdb.com/name/nm0126021/,1975,m,black,http://www.boxofficemojo.com/movies/?id=anacondas.htm,6859,nm0126021,Anacondas: The Hunt for the Blood Orchid,8/27/2004,6/18/2004
65,Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/,2004,0,4,1,Cast,Will Ferrell,http://www.imdb.com/name/nm0002071/,1967,m,white,http://www.boxofficemojo.com/movies/?id=anchorman.htm,275,nm0002071,Anchorman: The Legend of Ron Burgundy,7/9/2004,4/30/2004
66,Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/,2004,0,5,2,Cast,Christina Applegate,http://www.imdb.com/name/nm0000775/,1971,f,white,http://www.boxofficemojo.com/movies/?id=anchorman.htm,377,nm0000775,Anchorman: The Legend of Ron Burgundy,7/9/2004,4/30/2004
67,Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/,2004,0,6,3,Cast,Paul Rudd,http://www.imdb.com/name/nm0748620/,1969,m,white,http://www.boxofficemojo.com/movies/?id=anchorman.htm,929,nm0748620,Anchorman: The Legend of Ron Burgundy,7/9/2004,4/30/2004
68,Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/,2004,0,7,4,Cast,Steve Carell,http://www.imdb.com/name/nm0136797/,1962,m,white,http://www.boxofficemojo.com/movies/?id=anchorman.htm,3338,nm0136797,Anchorman: The Legend of Ron Burgundy,7/9/2004,4/30/2004
