,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics
1091,2008,85,Doubt,http://www.boxofficemojo.com/movies/?id=doubt.htm,33446470,17460764,104,20000000,0,0,0,0,,http://www.imdb.com/title/tt0918927/,Mira.,33446470,1287,507226,15,0,1,matched (3),1,149,matched (3),2,matched (3),68,526.90002,7.5,2.204,matched (3),Doubt,0,0,0,0,0,"December 12, 2008","April 9, 2009",10
1092,2010,5,Harry Potter and the Deathly Hallows Part 1,http://www.boxofficemojo.com/movies/?id=harrypotter7.htm,295983305,664300000,150,,1,0,0,0,,http://www.imdb.com/title/tt0926084/,WB,295983305,4125,125017372,4125,1,2,matched (3),1,166,matched (3),4,matched (3),65,255.5,7.6999998,2.7847099,matched (3),Harry Potter and the Deathly Hallows: Part 1,0,0,0,0,0,"November 19, 2010","April 7, 2011",10
1093,2008,65,Prom Night (2008),http://www.boxofficemojo.com/movies/?id=promnight07.htm,43869350,13328526,88,20000000,1,0,0,0,,http://www.imdb.com/title/tt0926129/,SGem,43869350,2821,20804941,2700,0,2,matched (3),0,4,matched (3),2,matched (3),17,499.29999,3.9000001,6.65521,matched (3),Prom Night,0,0,0,0,0,"April 11, 2008","May 29, 2008",10
1094,2009,65,"Precious: Based on the Novel ""Push"" by Sapphire",http://www.boxofficemojo.com/movies/?id=preciouspush.htm,47566524,16081309,109,10000000,0,0,1,0,,http://www.imdb.com/title/tt0929632/,LGF,47566524,1003,1872458,18,0,1,matched (3),1,295,matched (3),1,matched (3),79,561,7.3000002,3.2024,matched (3),Precious,0,1,1,1,0,"November 6, 2009","March 18, 2010",10
1095,2010,170,Rabbit Hole,http://www.boxofficemojo.com/movies/?id=rabbithole.htm,2229058,2900000,92,5000000,0,0,0,0,,http://www.imdb.com/title/tt0935075/,LGF,2229058,131,53778,5,0,1,matched (3),1,50,matched (3),1,matched (3),76,247.39999,7,2.5780001,matched (3),Rabbit Hole,0,0,0,0,0,"December 17, 2010","April 7, 2011",10
1096,2009,20,Taken,http://www.boxofficemojo.com/movies/?id=taken.htm,145000989,81829579,93,25000000,1,0,0,0,,http://www.imdb.com/title/tt0936501/,Fox,145000989,3184,24717037,3183,1,1,matched (3),0,3,matched (3),2,matched (3),51,187.39999,7.8000002,2.112,matched (3),Taken,0,0,0,0,1,"January 30, 2009","July 5, 2009",10
1097,2007,54,This Christmas,http://www.boxofficemojo.com/movies/?id=thischristmas.htm,49121934,656618,117,13000000,1,0,0,0,,http://www.imdb.com/title/tt0937375/,SGem,49121934,1921,17958183,1858,0,1,matched (3),0,4,matched (3),3,matched (3),63,134.3,6.3000002,7.4443998,matched (3),This Christmas,0,1,1,1,0,"November 21, 2007","January 6, 2008",10
1098,2010,19,The Last Airbender,http://www.boxofficemojo.com/movies/?id=lastairbender.htm,131772187,187941694,103,150000000,1,0,0,0,,http://www.imdb.com/title/tt0938283/,Par.,131772187,3203,40325019,3169,0,1,matched (3),0,21,matched (3),4,matched (3),20,378.70001,4.0999999,7.3496099,matched (3),The Last Airbender,0,1,1,0,0,"July 1, 2010","September 23, 2010",10
1099,2012,115,Silent Hill: Revelation 3D,http://www.boxofficemojo.com/movies/?id=silenthill2.htm,17529157,34773639,94,20000000,0,0,1,0,,http://www.imdb.com/title/tt0938330/,ORF,17529157,2933,8023036,2933,1,2,matched (3),0,28,matched (3),5,matched (3),16,200.60001,5,5.5840001,matched (3),Silent Hill: Revelation,,,,,0,"October 26, 2012","December 16, 2012",10
1100,2008,23,Tropic Thunder,http://www.boxofficemojo.com/movies/?id=tropicthunder.htm,110515313,77557336,107,92000000,0,0,1,0,,http://www.imdb.com/title/tt0942385/,P/DW,110515313,3473,25812796,3319,0,3,matched (3),1,57,matched (3),2,matched (3),71,173.7,7,3.362,matched (3),Tropic Thunder,0,0,0,0,0,"August 13, 2008","November 13, 2008",10
