,Unnamed: 0,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics,year_week_average_gross,year_week_average_totalmovies
344,344,2005,38,The Amityville Horror (2005),http://www.boxofficemojo.com/movies/?id=amityvillehorror05.htm,65233369,42813762.0,89.0,19000000.0,1,0,1,0,,http://www.imdb.com/title/tt0384806/,MGM,65233369,3323,23507007.0,3323.0,0.0,1.0,matched (3),0.0,6.0,matched (3),4.0,matched (3),33.0,814.09998,6.0,3.556,matched (3),The Amityville Horror,0.0,0.0,0.0,0.0,0,2005-04-15,2005-06-16,10,160765568.0,94.333336
345,345,2004,139,House of Flying Daggers,http://www.boxofficemojo.com/movies/?id=houseofflyingdaggers.htm,11050094,81813851.0,119.0,,1,0,0,0,,http://www.imdb.com/title/tt0385004/,SPC,11050094,1189,397472.0,15.0,1.0,2.0,matched (3),1.0,131.0,matched (3),4.0,matched (3),89.0,140.3,7.599999900000001,2.6069601000000002,matched (3),House of Flying Daggers,,,,,0,2004-12-03,2005-04-07,10,160765568.0,94.333336
346,346,2004,69,In Good Company,http://www.boxofficemojo.com/movies/?id=ingoodcompany.htm,45806659,15508556.0,110.0,,1,0,0,0,,http://www.imdb.com/title/tt0385267/,Uni.,45806659,1963,151750.0,3.0,0.0,1.0,matched (3),1.0,9.0,matched (3),3.0,matched (3),66.0,115.0,6.5,2.4000001,matched (3),In Good Company,0.0,0.0,0.0,0.0,0,2004-12-29,2005-03-31,10,160765568.0,94.333336
347,347,2005,59,Miss Congeniality 2: Armed and Fabulous,http://www.boxofficemojo.com/movies/?id=misscongeniality2.htm,48478006,52915563.0,107.0,,1,0,0,0,,http://www.imdb.com/title/tt0385307/,WB,48478006,3233,14043215.0,3233.0,0.0,1.0,matched (3),0.0,8.0,matched (3),3.0,matched (3),34.0,227.8,5.0999999,4.0488,matched (3),Miss Congeniality 2: Armed and Fabulous,0.0,0.0,0.0,0.0,0,2005-03-24,2005-07-07,10,160765568.0,94.333336
348,348,2004,185,Dans une galaxie pres de chez vous,http://www.boxofficemojo.com/movies/?id=dansunegalaxiepresdechezvous.htm,2259688,939743.0,,,0,0,0,1,,http://www.imdb.com/title/tt0385635/,TVA,2259688,74,,,1.0,1.0,matched (3),0.0,7.0,matched (3),3.0,matched (3),,,7.0,3.1359999,matched (3),Dans une galaxie près de chez vous - Le film,,,,,0,2004-04-09,,0,160765568.0,94.333336
349,349,2006,72,Glory Road,http://www.boxofficemojo.com/movies/?id=gloryroad.htm,42647449,291000.0,106.0,,1,0,0,0,,http://www.imdb.com/title/tt0385726/,BV,42647449,2397,13594734.0,2222.0,0.0,1.0,matched (3),0.0,9.0,matched (3),3.0,matched (3),58.0,183.10001,7.1999998,2.39836,matched (3),Glory Road,0.0,0.0,0.0,0.0,0,2006-01-13,2006-05-11,10,160765568.0,94.333336
350,350,2007,39,The Golden Compass,http://www.boxofficemojo.com/movies/?id=goldencompass.htm,70107728,302127136.0,113.0,180000000.0,0,0,0,0,,http://www.imdb.com/title/tt0385752/,NL,70107728,3528,25783232.0,3528.0,0.0,2.0,matched (3),1.0,73.0,matched (3),3.0,matched (3),51.0,163.10001,6.0999999,3.8864099999999997,matched (3),The Golden Compass,0.0,0.0,0.0,0.0,0,2007-12-07,2008-03-06,10,160765568.0,94.333336
351,351,2006,32,Monster House,http://www.boxofficemojo.com/movies/?id=monsterhouse.htm,73661010,66513996.0,91.0,75000000.0,1,0,0,0,,http://www.imdb.com/title/tt0385880/,Sony,73661010,3553,22217226.0,3553.0,0.0,1.0,matched (3),1.0,33.0,matched (3),5.0,matched (3),68.0,419.10001,6.599999900000001,2.7546401,matched (3),Monster House,0.0,0.0,0.0,0.0,0,2006-07-21,2006-10-22,10,160765568.0,94.333336
352,352,2007,97,Sicko,http://www.boxofficemojo.com/movies/?id=sicko.htm,24540079,11548030.0,123.0,9000000.0,0,0,0,0,,http://www.imdb.com/title/tt0386032/,LGF,24540079,1117,68969.0,1.0,0.0,1.0,matched (3),1.0,34.0,matched (3),2.0,matched (3),74.0,304.0,8.0,4.3039999,matched (3),Sicko,0.0,0.0,0.0,0.0,0,2007-06-22,2007-10-18,10,160765568.0,94.333336
353,353,2009,41,Where the Wild Things Are,http://www.boxofficemojo.com/movies/?id=wherethewildthingsare.htm,77233467,22853326.0,94.0,100000000.0,1,0,0,0,,http://www.imdb.com/title/tt0386117/,WB,77233467,3735,32695407.0,3735.0,0.0,3.0,matched (3),1.0,114.0,matched (3),4.0,matched (3),71.0,310.29999,6.8000002,4.3333601999999996,matched (3),Max et les Maximonstres,0.0,0.0,0.0,0.0,0,2009-10-16,2010-02-11,10,160765568.0,94.333336
354,354,2005,65,The Legend of Zorro,http://www.boxofficemojo.com/movies/?id=zorro2.htm,46464023,95936042.0,126.0,75000000.0,1,0,0,0,,http://www.imdb.com/title/tt0386140/,Sony,46464023,3520,16328506.0,3520.0,0.0,1.0,matched (3),0.0,14.0,matched (3),3.0,matched (3),47.0,221.5,5.9000001,2.9087999,matched (3),The Legend of Zorro,0.0,0.0,0.0,0.0,0,2005-10-28,2006-01-02,10,160765568.0,94.333336
355,355,2005,11,Hitch,http://www.boxofficemojo.com/movies/?id=hitch.htm,179495555,188604865.0,115.0,70000000.0,1,0,0,0,,http://www.imdb.com/title/tt0386588/,Sony,179495555,3575,43142214.0,3575.0,0.0,1.0,matched (3),0.0,33.0,matched (3),2.0,matched (3),58.0,100.0,6.599999900000001,2.6407599,matched (3),Hitch,0.0,0.0,0.0,0.0,0,2005-02-11,2005-07-21,10,160765568.0,94.333336
356,356,2004,200,Nouvelle-France,http://www.boxofficemojo.com/movies/?id=nouvellefrance.htm,1599716,457577.0,145.0,,0,0,0,0,,http://www.imdb.com/title/tt0386669/,Chri.,1599716,80,468625.0,80.0,1.0,3.0,matched (3),0.0,15.0,matched (3),4.0,matched (3),,,5.4000001,5.7532001,matched (3),Battle of the Brave,,,,,0,2004-11-19,,0,160765568.0,94.333336
357,357,2005,80,The Constant Gardener,http://www.boxofficemojo.com/movies/?id=constantgardener.htm,33579797,48886873.0,129.0,25000000.0,0,0,1,0,,http://www.imdb.com/title/tt0387131/,Focus,33579797,1387,8673803.0,1346.0,1.0,4.0,matched (3),1.0,112.0,matched (3),4.0,matched (3),82.0,49.900002,7.400000099999999,2.4935999,matched (3),The Constant Gardener,,,,,0,2005-08-31,2005-12-01,10,160765568.0,94.333336
358,358,2004,57,Saw,http://www.boxofficemojo.com/movies/?id=saw.htm,55185045,47911300.0,100.0,1200000.0,0,0,1,0,,http://www.imdb.com/title/tt0387564/,Lions,55185045,2467,18276468.0,2315.0,0.0,1.0,matched (3),0.0,18.0,matched (3),3.0,matched (3),46.0,547.0,7.599999900000001,3.1054399,matched (3),Saw,0.0,1.0,1.0,0.0,1,2004-10-29,2004-12-30,10,160765568.0,94.333336
