,Columns are already created in the csv file at the rightest side,imdbcrewcastlink,year,imdbfilmtitle,role,imdbfilmlink,bomtitle,bomlink,starpower-director,name_id,releasedate,prior10weeksDate
1907,Rohit Shetty,http://www.imdb.com/name/nm1460159/,2010,Golmaal 3,Director,http://www.imdb.com/title/tt1562859/,Golmaal 3,http://www.boxofficemojo.com/movies/?id=golmaal3.htm,30581,nm1460159,11/5/2010,8/27/2010
1908,Anubhav Sinha,http://www.imdb.com/name/nm1025280/,2011,Ra.One,Director,http://www.imdb.com/title/tt1562871/,RA One,http://www.boxofficemojo.com/movies/?id=raone.htm,21697,nm1025280,10/26/2011,8/17/2011
1909,Zoya Akhtar,http://www.imdb.com/name/nm0015295/,2011,Zindagi Na Milegi Dobara,Director,http://www.imdb.com/title/tt1562872/,Zindagi Na Milegi Dobara,http://www.boxofficemojo.com/movies/?id=zindagi.htm,43858,nm0015295,7/15/2011,5/6/2011
1910,Lone Scherfig,http://www.imdb.com/name/nm0771054/,2011,One Day,Director,http://www.imdb.com/title/tt1563738/,One Day,http://www.boxofficemojo.com/movies/?id=oneday.htm,9764,nm0771054,8/19/2011,6/10/2011
1911,Charles Martin Smith,http://www.imdb.com/name/nm0001747/,2011,Dolphin Tale,Director,http://www.imdb.com/title/tt1564349/,Dolphin Tale,http://www.boxofficemojo.com/movies/?id=dolphintale.htm,5647,nm0001747,9/23/2011,7/15/2011
1912,Dennis Dugan,http://www.imdb.com/name/nm0240797/,2011,Just Go with It,Director,http://www.imdb.com/title/tt1564367/,Just Go With It,http://www.boxofficemojo.com/movies/?id=thepretendwife.htm,4431,nm0240797,2/11/2011,12/3/2010
1913,Greg Strause,http://www.imdb.com/name/nm0833780/,2010,Skyline,Director,http://www.imdb.com/title/tt1564585/,Skyline,http://www.boxofficemojo.com/movies/?id=skyline.htm,10997,nm0833780,11/12/2010,9/3/2010
1914,Colin Strause,http://www.imdb.com/name/nm0833779/,2010,Skyline,Director,http://www.imdb.com/title/tt1564585/,Skyline,http://www.boxofficemojo.com/movies/?id=skyline.htm,6838,nm0833779,11/12/2010,9/3/2010
1915,Dean Wright,http://www.imdb.com/name/nm0942331/,2012,For Greater Glory: The True Story of Cristiada,Director,http://www.imdb.com/title/tt1566501/,For Greater Glory,http://www.boxofficemojo.com/movies/?id=forgreaterglory.htm,25785,nm0942331,6/1/2012,3/23/2012
1916,Davis Guggenheim,http://www.imdb.com/name/nm0346550/,2010,Waiting for 'Superman',Director,http://www.imdb.com/title/tt1566648/,"Waiting forá""Superman""",http://www.boxofficemojo.com/movies/?id=waitingforsuperman.htm,5167,nm0346550,9/24/2010,7/16/2010
1917,Anne Sundberg,http://www.imdb.com/name/nm0839064/,2010,Joan Rivers: A Piece of Work,Director,http://www.imdb.com/title/tt1568150/,Joan Rivers: A Piece of Work,http://www.boxofficemojo.com/movies/?id=joanrivers.htm,50985,nm0839064,6/11/2010,4/2/2010
1918,Ricki Stern,http://www.imdb.com/name/nm0827830/,2010,Joan Rivers: A Piece of Work,Director,http://www.imdb.com/title/tt1568150/,Joan Rivers: A Piece of Work,http://www.boxofficemojo.com/movies/?id=joanrivers.htm,58783,nm0827830,6/11/2010,4/2/2010
1919,Asger Leth,http://www.imdb.com/name/nm1300606/,2012,Man on a Ledge,Director,http://www.imdb.com/title/tt1568338/,Man on a Ledge,http://www.boxofficemojo.com/movies/?id=manonaledge.htm,19752,nm1300606,1/27/2012,11/18/2011
1920,David Fincher,http://www.imdb.com/name/nm0000399/,2011,The Girl with the Dragon Tattoo,Director,http://www.imdb.com/title/tt1568346/,The Girl with the Dragon Tattoo (2011),http://www.boxofficemojo.com/movies/?id=girldragontattoo11.htm,500,nm0000399,12/21/2011,10/12/2011
1921,Steven Spielberg,http://www.imdb.com/name/nm0000229/,2011,War Horse,Director,http://www.imdb.com/title/tt1568911/,War Horse,http://www.boxofficemojo.com/movies/?id=warhorse.htm,139,nm0000229,12/25/2011,10/16/2011
1922,Hiromasa Yonebayashi,http://www.imdb.com/name/nm0948488/,2010,The Secret World of Arrietty,Director,http://www.imdb.com/title/tt1568921/,The Secret World of Arrietty,http://www.boxofficemojo.com/movies/?id=arrietty.htm,16243,nm0948488,2/17/2012,12/9/2011
1923,Glenn Ficarra,http://www.imdb.com/name/nm0275629/,2011,"Crazy, Stupid, Love.",Director,http://www.imdb.com/title/tt1570728/,"Crazy, Stupid, Love.",http://www.boxofficemojo.com/movies/?id=crazystupidlove.htm,13931,nm0275629,7/29/2011,5/20/2011
1924,John Requa,http://www.imdb.com/name/nm0720135/,2011,"Crazy, Stupid, Love.",Director,http://www.imdb.com/title/tt1570728/,"Crazy, Stupid, Love.",http://www.boxofficemojo.com/movies/?id=crazystupidlove.htm,18852,nm0720135,7/29/2011,5/20/2011
1925,David Cronenberg,http://www.imdb.com/name/nm0000343/,2011,A Dangerous Method,Director,http://www.imdb.com/title/tt1571222/,A Dangerous Method,http://www.boxofficemojo.com/movies/?id=dangerousmethod.htm,500,nm0000343,11/23/2011,9/14/2011
1926,Craig Johnson,http://www.imdb.com/name/nm2574897/,2014,The Skeleton Twins,Director,http://www.imdb.com/title/tt1571249/,The Skeleton Twins,http://www.boxofficemojo.com/movies/?id=skeletontwins.htm,4667,nm2574897,9/12/2014,7/4/2014
1927,Farah Khan,http://www.imdb.com/name/nm0007134/,2010,Tees Maar Khan,Director,http://www.imdb.com/title/tt1572311/,Tees Maar Khan,http://www.boxofficemojo.com/movies/?id=teesmaarkhan.htm,22916,nm0007134,12/22/2010,10/13/2010
1928,John Luessenhop,http://www.imdb.com/name/nm0525141/,2013,Texas Chainsaw 3D,Director,http://www.imdb.com/title/tt1572315/,Texas Chainsaw 3D,http://www.boxofficemojo.com/movies/?id=texaschainsaw3d.htm,12166,nm0525141,1/4/2013,10/26/2012
1929,Sajid Khan,http://www.imdb.com/name/nm1349318/,2010,Housefull,Director,http://www.imdb.com/title/tt1573072/,Housefull,http://www.boxofficemojo.com/movies/?id=housefull.htm,908517,nm1349318,4/30/2010,2/19/2010
1930,Ron Howard,http://www.imdb.com/name/nm0000165/,2011,The Dilemma,Director,http://www.imdb.com/title/tt1578275/,The Dilemma,http://www.boxofficemojo.com/movies/?id=howardvaughnjames.htm,568,nm0000165,1/14/2011,11/5/2010
1931,Jeff Orlowski,http://www.imdb.com/name/nm2341611/,2012,Chasing Ice,Director,http://www.imdb.com/title/tt1579361/,Chasing Ice,http://www.boxofficemojo.com/movies/?id=chasingice.htm,176334,nm2341611,11/9/2012,8/31/2012
1932,Mark Tonderai,http://www.imdb.com/name/nm0867127/,2012,House at the End of the Street,Director,http://www.imdb.com/title/tt1582507/,House at the End of The Street,http://www.boxofficemojo.com/movies/?id=houseattheendofthestreet.htm,26124,nm0867127,9/21/2012,7/13/2012
1933,Tom Hanks,http://www.imdb.com/name/nm0000158/,2011,Larry Crowne,Director,http://www.imdb.com/title/tt1583420/,Larry Crowne,http://www.boxofficemojo.com/movies/?id=larrycrowne.htm,87,nm0000158,7/1/2011,4/22/2011
1934,Jon M. Chu,http://www.imdb.com/name/nm0160840/,2013,G.I. Joe: Retaliation,Director,http://www.imdb.com/title/tt1583421/,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?id=gijoe2.htm,11887,nm0160840,3/28/2013,1/17/2013
1935,Ariel Schulman,http://www.imdb.com/name/nm1413364/,2010,Catfish,Director,http://www.imdb.com/title/tt1584016/,Catfish,http://www.boxofficemojo.com/movies/?id=catfish.htm,94311,nm1413364,9/17/2010,7/9/2010
1936,Henry Joost,http://www.imdb.com/name/nm1160962/,2010,Catfish,Director,http://www.imdb.com/title/tt1584016/,Catfish,http://www.boxofficemojo.com/movies/?id=catfish.htm,91266,nm1160962,9/17/2010,7/9/2010
